DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),UKR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,35.93038211,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),UKR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,33.41374334,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MYS,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,13.12,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MYS,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,12.144,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MYS,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,11.749,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MYS,TAX_REV,S13,_T,_T,PT_B1GQ,A,2020,11.445,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BGR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,30.45549451,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BGR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2023,29.98238979,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BGR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,31.06019911,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BGR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2021,30.68141587,A,0,TOTALTAX,1,_Z
